,Open,High,Low,Close,Volume,Date
123,2330.4191,2342.0422,2322.7615,2337.0283,144710,2023-06-21
124,2325.0861,2337.3930,2310.9560,2321.6675,171359,2023-06-20
125,2353.9844,2355.6254,2318.6136,2325.9977,165566,2023-06-19
126,2329.7354,2352.8905,2329.7354,2347.7854,150565,2023-06-16
127,2321.9410,2335.4786,2311.1383,2326.0433,284440,2023-06-15
128,2295.5040,2329.1884,2294.1822,2327.0005,196737,2023-06-14
129,2270.6168,2300.2900,2266.5145,2297.6463,205509,2023-06-13
130,2258.9937,2269.0215,2247.2338,2263.6429,75549,2023-06-12
131,2274.5368,2286.4334,2259.0392,2262.5490,169640,2023-06-09
132,2281.2372,2293.6352,2270.8447,2278.8670,136486,2023-06-08
133,2266.3778,2278.6391,2253.8430,2276.8158,211341,2023-06-07
134,2262.0020,2270.0243,2244.9091,2261.0448,115547,2023-06-06
135,2247.2338,2264.1899,2240.8524,2257.8997,119029,2023-06-05
136,2256.2588,2263.3694,2234.4255,2237.9808,101224,2023-06-02
137,2258.9937,2264.8736,2240.7157,2244.4533,240274,2023-06-01
138,2285.3851,2287.2083,2244.1343,2255.9853,205076,2023-05-31
139,2297.2817,2313.1895,2291.7208,2296.7347,146443,2023-05-30
140,2296.3701,2306.3979,2285.3851,2297.0994,416211,2023-05-29
141,2236.7501,2288.1655,2232.6934,2285.0204,261121,2023-05-26
142,2218.4266,2232.0553,2202.1998,2223.0303,186194,2023-05-25
143,2230.3688,2245.3194,2218.2443,2221.6628,154319,2023-05-24
144,2247.1426,2250.1054,2235.1548,2237.2060,87497,2023-05-23
145,2215.2359,2247.1426,2215.2359,2237.5706,144136,2023-05-22
146,2217.6973,2229.5939,2205.7095,2226.9046,54880,2023-05-19
147,2237.8441,2239.0292,2213.4127,2218.7457,56823,2023-05-18
148,2242.9036,2245.9575,2214.5066,2223.2582,158298,2023-05-17
149,2275.4028,2277.2261,2234.3799,2236.9780,83298,2023-05-16
150,2266.2866,2282.4679,2254.0709,2268.2466,67628,2023-05-15
151,2258.0820,2268.1099,2239.4394,2264.5545,61427,2023-05-12
152,2278.5935,2287.2539,2255.1649,2259.2671,98850,2023-05-11
153,2265.9220,2278.9581,2262.1843,2275.6763,99083,2023-05-10
154,2256.2588,2267.1527,2245.7752,2260.0420,65220,2023-05-09
155,2234.3343,2264.0076,2228.7735,2252.9314,92596,2023-05-08
156,2227.9986,2244.1343,2220.4777,2225.5372,81483,2023-05-05
157,2209.2192,2235.5195,2200.8779,2231.4627,88436,2023-05-04
158,2230.7335,2230.7335,2200.0574,2205.9374,89389,2023-05-03
159,2224.3521,2229.8218,2214.0964,2225.3093,145848,2023-05-02
160,2169.5182,2209.7662,2169.4726,2206.3020,394972,2023-04-28
161,2155.9806,2172.3898,2155.0690,2167.3759,85772,2023-04-27
162,2169.4726,2171.0224,2145.8161,2153.2914,145620,2023-04-26
163,2159.4448,2170.5665,2142.6254,2165.1880,92349,2023-04-25
164,2155.9806,2172.2986,2141.1212,2148.8244,253679,2023-04-24
165,2140.5287,2152.1974,2131.3669,2141.3036,99384,2023-04-21
166,2142.4887,2150.5109,2126.8088,2138.3864,140197,2023-04-20
167,2130.4553,2149.5993,2126.1251,2143.8105,96087,2023-04-19
168,2161.1769,2166.0996,2120.4275,2133.2357,151805,2023-04-18
169,2201.5616,2201.5616,2141.5770,2157.6215,294432,2023-04-17
170,2142.3063,2156.8011,2135.1501,2147.4570,212068,2023-04-13
171,2129.8171,2158.9434,2124.1195,2139.0245,198164,2023-04-12
172,2124.0739,2134.1018,2118.6042,2129.8171,105010,2023-04-11
173,2138.6599,2142.6710,2116.6898,2119.1512,93595,2023-04-10
174,2114.9577,2146.4086,2113.1801,2134.1018,144642,2023-04-06
175,2134.7855,2139.2068,2104.4741,2119.9717,258000,2023-04-05
176,2137.8394,2141.5315,2110.3996,2125.6693,214215,2023-04-03
177,2056.6141,2135.9250,2055.2922,2125.0311,617169,2023-03-31
178,2043.7602,2046.5863,2015.8191,2037.6980,159031,2023-03-29
179,2043.1677,2056.6141,2039.7491,2049.2755,113718,2023-03-28
180,2019.6935,2054.7908,2006.0192,2039.7491,315446,2023-03-27
181,2048.9565,2051.1444,2003.7401,2008.7540,178216,2023-03-24
